,Count,Hour,Temp,Humidity,Wind,Visibility,DewTemp,SolarRad,Rainfall,Snowfall,Seasons,Holiday,FuncDay,Day,WeekDay,Month,Year
21,405.0,21.0,-0.8,81.0,0.8,1687.0,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
22,398.0,22.0,-0.9,83.0,1.5,1380.0,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
23,323.0,23.0,-1.3,84.0,1.0,1265.0,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1,Friday,December,2017
24,328.0,0.0,-1.8,87.0,1.1,994.0,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
25,308.0,1.0,-2.2,86.0,0.6,990.0,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
26,262.0,2.0,-2.9,86.0,1.5,1256.0,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
27,167.0,3.0,-3.5,81.0,2.2,1221.0,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
28,89.0,4.0,-3.8,79.0,2.0,1167.0,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
29,79.0,5.0,-4.0,79.0,1.5,1202.0,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
30,70.0,6.0,-4.3,82.0,2.1,1178.0,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
31,146.0,7.0,-4.4,81.0,2.5,1276.0,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
32,219.0,8.0,-4.2,79.0,2.1,1436.0,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
33,328.0,9.0,-2.9,68.0,1.6,1487.0,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
34,334.0,10.0,-0.4,57.0,1.6,1309.0,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
35,388.0,11.0,1.9,49.0,1.8,1406.0,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
36,479.0,12.0,4.3,41.0,1.3,1666.0,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
37,606.0,13.0,6.0,36.0,1.8,1780.0,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
38,611.0,14.0,7.3,35.0,1.3,1955.0,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
39,589.0,15.0,7.6,41.0,2.3,1953.0,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
40,618.0,16.0,6.4,48.0,2.6,1945.0,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
41,572.0,17.0,6.0,51.0,2.5,1891.0,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
42,489.0,18.0,5.5,53.0,1.5,1697.0,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
43,385.0,19.0,5.0,52.0,2.3,1666.0,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
44,359.0,20.0,4.6,51.0,1.2,1585.0,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
45,377.0,21.0,4.1,55.0,1.2,1448.0,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
46,354.0,22.0,3.5,54.0,1.5,1446.0,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
47,366.0,23.0,4.0,56.0,1.0,1352.0,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017
48,342.0,0.0,4.0,58.0,1.4,1296.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
49,227.0,1.0,3.9,69.0,1.7,485.0,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
50,228.0,2.0,3.3,79.0,1.4,830.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
51,117.0,3.0,3.4,71.0,1.6,1011.0,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
52,76.0,4.0,3.5,73.0,1.0,1060.0,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
53,32.0,5.0,3.9,75.0,1.9,914.0,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
54,13.0,6.0,3.4,86.0,2.5,278.0,1.2,0.0,1.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
55,22.0,7.0,3.1,91.0,1.2,129.0,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
56,85.0,8.0,3.2,92.0,1.8,244.0,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
57,152.0,9.0,3.5,91.0,1.8,231.0,2.1,0.02,2.5,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
58,200.0,10.0,4.4,89.0,2.2,257.0,2.7,0.24,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
59,273.0,11.0,5.1,87.0,1.4,321.0,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
60,333.0,12.0,5.8,85.0,1.7,349.0,3.4,0.43,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
61,495.0,13.0,6.8,81.0,1.9,390.0,3.7,0.6,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
62,563.0,14.0,7.6,76.0,1.2,422.0,3.6,0.69,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
63,621.0,15.0,8.0,73.0,1.6,433.0,3.4,0.53,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
64,598.0,16.0,7.6,77.0,1.6,399.0,3.8,0.2,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
65,545.0,17.0,6.7,82.0,1.5,358.0,3.8,0.05,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
66,443.0,18.0,6.0,84.0,1.9,327.0,3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
67,422.0,19.0,5.7,85.0,1.7,309.0,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
68,397.0,20.0,5.2,87.0,1.4,253.0,3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
69,385.0,21.0,4.7,87.0,1.2,247.0,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
70,350.0,22.0,4.3,89.0,1.8,201.0,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
71,303.0,23.0,3.9,90.0,1.3,194.0,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017
72,285.0,0.0,4.2,88.0,0.6,216.0,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
73,186.0,1.0,4.3,87.0,0.5,221.0,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
74,112.0,2.0,4.4,87.0,1.8,207.0,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
75,65.0,3.0,3.6,85.0,2.3,206.0,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
76,41.0,4.0,2.8,89.0,1.5,130.0,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
77,82.0,5.0,2.0,83.0,2.7,253.0,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
78,200.0,6.0,1.2,76.0,3.7,371.0,-2.5,0.0,0.1,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
79,498.0,7.0,0.2,68.0,3.4,702.0,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
80,937.0,8.0,-0.8,69.0,3.5,954.0,-5.7,0.01,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
81,509.0,9.0,-1.5,47.0,4.2,1888.0,-11.3,0.22,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
82,311.0,10.0,-1.1,40.0,4.5,2000.0,-13.0,0.64,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
83,379.0,11.0,-0.5,41.0,4.1,1799.0,-12.1,0.94,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
84,393.0,12.0,-0.3,38.0,4.8,1823.0,-12.9,1.11,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
85,391.0,13.0,0.0,30.0,5.4,1938.0,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
86,338.0,14.0,0.1,27.0,4.5,2000.0,-16.7,1.09,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
87,341.0,15.0,-0.1,25.0,5.8,2000.0,-17.8,0.88,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
88,375.0,16.0,-0.2,23.0,4.7,2000.0,-18.8,0.55,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
89,515.0,17.0,-1.3,26.0,5.3,2000.0,-18.3,0.18,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
90,807.0,18.0,-2.1,29.0,3.9,2000.0,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
91,568.0,19.0,-2.9,32.0,3.2,2000.0,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
92,398.0,20.0,-3.6,38.0,3.0,2000.0,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
93,397.0,21.0,-4.6,43.0,4.5,2000.0,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
94,353.0,22.0,-5.3,45.0,2.5,2000.0,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
95,248.0,23.0,-5.8,44.0,2.4,2000.0,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017
96,216.0,0.0,-6.1,42.0,2.6,2000.0,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
97,198.0,1.0,-6.5,41.0,2.8,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
98,124.0,2.0,-6.8,41.0,2.5,2000.0,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
99,62.0,3.0,-6.9,39.0,2.0,2000.0,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
100,42.0,4.0,-7.2,34.0,3.0,2000.0,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
101,82.0,5.0,-7.4,33.0,2.6,2000.0,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
102,172.0,6.0,-7.4,34.0,3.2,2000.0,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
103,381.0,7.0,-7.5,33.0,2.2,2000.0,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
104,812.0,8.0,-8.1,36.0,1.6,2000.0,-20.5,0.01,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
105,462.0,9.0,-7.6,31.0,1.3,1974.0,-21.8,0.21,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
106,269.0,10.0,-5.5,26.0,2.8,1967.0,-22.0,0.64,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
107,334.0,11.0,-3.9,25.0,0.0,1959.0,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
108,321.0,12.0,-2.3,25.0,0.0,1962.0,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
109,325.0,13.0,-1.6,27.0,0.0,1955.0,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
110,334.0,14.0,-1.1,28.0,0.0,2000.0,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
111,353.0,15.0,-0.7,28.0,0.0,2000.0,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
112,435.0,16.0,-0.5,30.0,0.0,2000.0,-16.0,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
113,529.0,17.0,-1.6,35.0,0.0,2000.0,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
114,789.0,18.0,-2.6,40.0,0.0,2000.0,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
115,597.0,19.0,-3.2,45.0,0.0,2000.0,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
116,418.0,20.0,-3.5,46.0,0.0,2000.0,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
117,415.0,21.0,-3.7,47.0,0.0,2000.0,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
118,393.0,22.0,-2.8,49.0,0.0,2000.0,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
119,244.0,23.0,-2.5,59.0,0.0,1210.0,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017
120,145.0,0.0,-2.8,77.0,0.0,331.0,-6.2,0.0,0.1,0.1,Winter,No Holiday,Yes,6,Wednesday,December,2017
121,144.0,1.0,-3.0,79.0,0.0,293.0,-6.1,0.0,0.0,0.3,Winter,No Holiday,Yes,6,Wednesday,December,2017
122,117.0,2.0,-3.0,79.0,0.0,1862.0,-6.1,0.0,0.0,0.4,Winter,No Holiday,Yes,6,Wednesday,December,2017
123,78.0,3.0,-3.2,78.0,0.0,1808.0,-6.4,0.0,0.2,0.4,Winter,No Holiday,Yes,6,Wednesday,December,2017
124,58.0,4.0,-3.4,75.0,0.0,1982.0,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes,6,Wednesday,December,2017
125,87.0,5.0,-3.6,76.0,0.0,1934.0,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes,6,Wednesday,December,2017
126,142.0,6.0,-3.7,76.0,0.0,1864.0,-7.3,0.0,0.0,0.4,Winter,No Holiday,Yes,6,Wednesday,December,2017
127,379.0,7.0,-4.2,77.0,0.0,1741.0,-7.6,0.0,0.0,0.3,Winter,No Holiday,Yes,6,Wednesday,December,2017
128,802.0,8.0,-4.2,78.0,0.0,1518.0,-7.4,0.01,0.0,0.2,Winter,No Holiday,Yes,6,Wednesday,December,2017
129,440.0,9.0,-3.3,70.0,0.0,1324.0,-7.9,0.25,0.0,0.2,Winter,No Holiday,Yes,6,Wednesday,December,2017
130,307.0,10.0,-0.9,64.0,0.0,1224.0,-6.8,0.63,0.0,0.2,Winter,No Holiday,Yes,6,Wednesday,December,2017
131,381.0,11.0,1.6,57.0,1.2,1261.0,-6.0,0.93,0.0,0.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
132,405.0,12.0,2.4,52.0,0.9,1224.0,-6.4,1.08,0.0,0.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
133,442.0,13.0,4.2,47.0,1.1,1469.0,-6.1,1.1,0.0,0.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
134,416.0,14.0,5.5,34.0,1.0,1966.0,-9.1,0.96,0.0,0.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
135,412.0,15.0,5.5,31.0,3.1,1968.0,-10.3,0.72,0.0,0.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
136,496.0,16.0,5.3,37.0,2.9,2000.0,-8.2,0.36,0.0,0.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
137,239.0,17.0,4.1,60.0,2.5,1565.0,-2.9,0.1,0.0,0.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
138,204.0,18.0,1.7,90.0,1.0,66.0,0.2,0.0,0.3,0.3,Winter,No Holiday,Yes,6,Wednesday,December,2017
139,205.0,19.0,1.2,92.0,0.7,180.0,0.0,0.0,0.0,1.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
140,190.0,20.0,1.2,94.0,0.6,228.0,0.3,0.0,0.0,1.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
141,165.0,21.0,1.1,92.0,0.5,235.0,0.0,0.0,0.7,1.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
142,222.0,22.0,1.3,92.0,0.6,233.0,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
143,193.0,23.0,1.3,92.0,0.6,209.0,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes,6,Wednesday,December,2017
144,198.0,0.0,1.4,92.0,0.5,240.0,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
145,218.0,1.0,1.5,92.0,0.4,227.0,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
146,149.0,2.0,1.4,92.0,0.7,168.0,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
147,102.0,3.0,1.9,91.0,1.4,218.0,0.5,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
148,62.0,4.0,1.6,92.0,0.7,119.0,0.4,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
149,83.0,5.0,1.5,92.0,1.1,175.0,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
150,137.0,6.0,1.0,93.0,0.5,148.0,0.0,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
151,367.0,7.0,0.3,93.0,0.5,173.0,-0.7,0.0,0.0,0.9,Winter,No Holiday,Yes,7,Thursday,December,2017
152,754.0,8.0,-0.2,96.0,0.8,173.0,-0.7,0.01,0.0,0.8,Winter,No Holiday,Yes,7,Thursday,December,2017
153,415.0,9.0,0.1,91.0,0.8,265.0,-1.1,0.14,0.0,0.8,Winter,No Holiday,Yes,7,Thursday,December,2017
154,321.0,10.0,1.1,83.0,0.7,311.0,-1.4,0.41,0.0,0.7,Winter,No Holiday,Yes,7,Thursday,December,2017
155,333.0,11.0,2.3,69.0,1.7,628.0,-2.8,0.63,0.0,0.6,Winter,No Holiday,Yes,7,Thursday,December,2017
156,431.0,12.0,3.7,65.0,2.4,833.0,-2.2,0.98,0.0,0.3,Winter,No Holiday,Yes,7,Thursday,December,2017
157,394.0,13.0,4.1,37.0,3.1,1767.0,-9.3,1.14,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
158,390.0,14.0,4.4,36.0,2.7,1975.0,-9.4,1.04,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
159,430.0,15.0,4.0,35.0,3.1,1962.0,-10.1,0.84,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
160,471.0,16.0,3.2,38.0,2.9,1817.0,-9.7,0.51,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
161,552.0,17.0,2.1,50.0,2.0,1434.0,-7.2,0.15,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
162,795.0,18.0,0.7,46.0,2.7,1558.0,-9.6,0.0,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
163,507.0,19.0,-0.4,47.0,2.5,1269.0,-10.3,0.0,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
164,390.0,20.0,-1.4,47.0,2.5,1620.0,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
165,402.0,21.0,-2.2,46.0,2.2,1975.0,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
166,389.0,22.0,-2.7,48.0,2.6,1844.0,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
167,259.0,23.0,-3.2,50.0,2.1,1887.0,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,7,Thursday,December,2017
168,233.0,0.0,-3.5,49.0,2.6,1893.0,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
169,230.0,1.0,-3.7,50.0,2.5,1902.0,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
170,131.0,2.0,-4.3,53.0,1.0,1918.0,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
171,99.0,3.0,-4.8,52.0,1.6,1978.0,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
172,71.0,4.0,-5.3,53.0,2.4,1936.0,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
173,84.0,5.0,-5.8,56.0,2.0,1941.0,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
174,158.0,6.0,-6.0,56.0,3.5,1853.0,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
175,387.0,7.0,-6.5,57.0,0.8,1776.0,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
176,780.0,8.0,-7.0,59.0,0.8,1559.0,-13.6,0.01,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
177,395.0,9.0,-6.7,50.0,0.9,1492.0,-15.4,0.23,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
178,261.0,10.0,-5.3,44.0,2.8,1516.0,-15.6,0.63,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
179,310.0,11.0,-3.7,39.0,1.4,1595.0,-15.6,0.93,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
180,355.0,12.0,-2.0,30.0,1.4,1728.0,-17.3,1.14,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
181,354.0,13.0,-1.7,28.0,1.8,1963.0,-17.8,1.22,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
182,350.0,14.0,-1.3,27.0,3.1,1906.0,-17.9,1.12,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
183,362.0,15.0,-0.8,26.0,3.3,1977.0,-17.9,0.87,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
184,401.0,16.0,-1.1,24.0,3.4,2000.0,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
185,500.0,17.0,-2.4,30.0,2.7,2000.0,-17.6,0.18,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
186,752.0,18.0,-3.1,33.0,1.2,2000.0,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
187,477.0,19.0,-3.3,35.0,1.1,2000.0,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
188,384.0,20.0,-3.3,34.0,1.5,2000.0,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
189,336.0,21.0,-3.3,35.0,0.5,2000.0,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
190,347.0,22.0,-3.4,39.0,1.2,2000.0,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
191,275.0,23.0,-3.5,43.0,0.9,2000.0,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017
192,267.0,0.0,-3.5,48.0,0.9,1967.0,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,9,Saturday,December,2017
193,296.0,1.0,-4.1,49.0,0.6,2000.0,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,9,Saturday,December,2017
194,237.0,2.0,-4.7,50.0,0.7,1983.0,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,9,Saturday,December,2017
195,169.0,3.0,-4.3,47.0,0.6,1992.0,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes,9,Saturday,December,2017
196,96.0,4.0,-4.3,49.0,0.7,2000.0,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,9,Saturday,December,2017
