,Hour,Temp,Humidity,Wind,Visibility,DewTemp,SolarRad,Rainfall,Snowfall,Seasons,Holiday,FuncDay,Day,WeekDay,Month,Year,RentalCount
3997,13.0,21.8,97.0,2.4,682.0,21.2,0.06,35.0,0.0,Spring,No Holiday,Yes,16,Wednesday,May,2018,151.0
2407,7.0,2.9,84.0,1.9,241.0,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,11,Sunday,March,2018,119.0
1744,16.0,-3.6,36.0,4.4,2000.0,-16.5,0.67,0.0,0.0,Winter,No Holiday,Yes,11,Sunday,February,2018,175.0
7820,20.0,14.5,51.0,1.4,751.0,4.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,22,Monday,October,2018,1593.0
4656,0.0,19.3,76.0,1.2,1968.0,14.9,0.0,0.0,0.0,Summer,No Holiday,Yes,13,Wednesday,June,2018,1274.0
4080,0.0,15.8,41.0,1.2,2000.0,2.5,0.0,0.0,0.0,Spring,No Holiday,Yes,20,Sunday,May,2018,986.0
1550,14.0,-5.0,31.0,4.0,2000.0,-19.5,2.18,0.0,0.0,Winter,No Holiday,Yes,3,Saturday,February,2018,196.0
3470,14.0,16.0,52.0,1.7,2000.0,6.1,1.22,0.0,0.0,Spring,No Holiday,Yes,24,Tuesday,April,2018,942.0
6747,3.0,17.8,60.0,0.2,2000.0,9.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,8,Saturday,September,2018,504.0
8698,10.0,4.4,23.0,1.6,1201.0,-14.9,0.7,0.0,0.0,Autumn,No Holiday,Yes,28,Wednesday,November,2018,583.0
7969,1.0,5.1,83.0,1.1,1989.0,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,29,Monday,October,2018,326.0
1739,11.0,-5.0,25.0,3.2,1853.0,-22.0,1.75,0.0,0.0,Winter,No Holiday,Yes,11,Sunday,February,2018,155.0
6399,15.0,24.0,94.0,3.1,1188.0,22.9,0.41,0.5,0.0,Summer,No Holiday,Yes,24,Friday,August,2018,405.0
8245,13.0,14.0,46.0,5.3,927.0,2.5,1.68,0.0,0.0,Autumn,No Holiday,No,9,Friday,November,2018,0.0
1650,18.0,-4.0,27.0,2.5,2000.0,-20.2,0.16,0.0,0.0,Winter,No Holiday,Yes,7,Wednesday,February,2018,448.0
73,1.0,4.3,87.0,0.5,221.0,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Monday,December,2017,186.0
3995,11.0,22.7,93.0,4.8,832.0,21.5,0.17,0.0,0.0,Spring,No Holiday,Yes,16,Wednesday,May,2018,243.0
6333,21.0,26.8,72.0,0.4,1985.0,21.3,0.0,0.0,0.0,Summer,No Holiday,Yes,21,Tuesday,August,2018,2057.0
3688,16.0,12.8,53.0,3.3,2000.0,3.4,0.76,0.0,0.0,Spring,No Holiday,Yes,3,Thursday,May,2018,911.0
1934,14.0,5.6,38.0,1.6,1087.0,-7.6,1.1,0.0,0.0,Winter,No Holiday,Yes,19,Monday,February,2018,373.0
5048,8.0,22.2,95.0,1.6,389.0,21.3,0.26,0.0,0.0,Summer,No Holiday,Yes,29,Friday,June,2018,2028.0
6829,13.0,25.7,40.0,2.2,1997.0,11.0,2.98,0.0,0.0,Autumn,No Holiday,Yes,11,Tuesday,September,2018,1102.0
3328,16.0,18.5,22.0,2.7,1515.0,-3.6,2.27,0.0,0.0,Spring,No Holiday,Yes,18,Wednesday,April,2018,1346.0
4967,23.0,27.2,55.0,0.7,920.0,17.3,0.0,0.0,0.0,Summer,No Holiday,Yes,25,Monday,June,2018,1437.0
3936,0.0,12.7,89.0,1.2,340.0,10.9,0.0,0.0,0.0,Spring,No Holiday,Yes,14,Monday,May,2018,581.0
4927,7.0,20.5,82.0,0.8,338.0,17.3,0.16,0.0,0.0,Summer,No Holiday,Yes,24,Sunday,June,2018,369.0
7691,11.0,15.5,25.0,2.5,1727.0,-4.4,2.1,0.0,0.0,Autumn,No Holiday,Yes,17,Wednesday,October,2018,961.0
1126,22.0,4.0,57.0,0.3,430.0,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,16,Tuesday,January,2018,321.0
2670,6.0,0.8,88.0,1.0,900.0,-0.9,0.0,0.0,0.0,Spring,No Holiday,Yes,22,Thursday,March,2018,212.0
7762,10.0,13.0,49.0,0.5,1685.0,2.5,1.61,0.0,0.0,Autumn,No Holiday,Yes,20,Saturday,October,2018,997.0
1203,3.0,-0.9,65.0,0.2,1359.0,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20,Saturday,January,2018,118.0
6178,10.0,33.5,49.0,1.0,1937.0,21.3,2.09,0.0,0.0,Summer,Holiday,Yes,15,Wednesday,August,2018,547.0
3914,2.0,14.5,97.0,2.9,359.0,14.0,0.0,0.1,0.0,Spring,No Holiday,Yes,13,Sunday,May,2018,189.0
8348,20.0,9.5,44.0,1.8,1991.0,-2.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,13,Tuesday,November,2018,1208.0
8697,9.0,3.0,30.0,1.3,1242.0,-12.9,0.3,0.0,0.0,Autumn,No Holiday,Yes,28,Wednesday,November,2018,798.0
6055,7.0,26.0,78.0,0.7,1988.0,21.8,0.16,0.0,0.0,Summer,No Holiday,Yes,10,Friday,August,2018,1027.0
2183,23.0,-4.0,52.0,3.4,1272.0,-12.4,0.0,0.0,0.0,Spring,Holiday,Yes,1,Thursday,March,2018,190.0
286,22.0,-9.0,45.0,1.3,1999.0,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,12,Tuesday,December,2017,256.0
31,7.0,-4.4,81.0,2.5,1276.0,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017,146.0
4789,13.0,29.4,42.0,1.7,689.0,15.1,3.1,0.0,0.0,Summer,No Holiday,Yes,18,Monday,June,2018,938.0
4466,2.0,19.7,66.0,0.5,1591.0,13.1,0.0,0.0,0.0,Summer,No Holiday,Yes,5,Tuesday,June,2018,448.0
582,6.0,-4.1,50.0,3.0,2000.0,-13.0,0.0,0.0,0.0,Winter,Holiday,Yes,25,Monday,December,2017,59.0
6850,10.0,22.7,45.0,1.5,2000.0,10.1,2.08,0.0,0.0,Autumn,No Holiday,Yes,12,Wednesday,September,2018,923.0
5095,7.0,22.1,89.0,0.5,1617.0,20.1,0.08,0.5,0.0,Summer,No Holiday,Yes,1,Sunday,July,2018,25.0
168,0.0,-3.5,49.0,2.6,1893.0,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Friday,December,2017,233.0
2922,18.0,17.7,75.0,2.1,519.0,13.2,0.12,0.0,0.0,Spring,No Holiday,Yes,1,Sunday,April,2018,1296.0
3314,2.0,8.7,44.0,1.6,1684.0,-2.8,0.0,0.0,0.0,Spring,No Holiday,Yes,18,Wednesday,April,2018,260.0
8339,11.0,11.4,46.0,0.8,876.0,0.1,1.57,0.0,0.0,Autumn,No Holiday,Yes,13,Tuesday,November,2018,789.0
5349,21.0,27.3,78.0,1.2,1606.0,23.1,0.0,0.0,0.0,Summer,No Holiday,Yes,11,Wednesday,July,2018,1936.0
5610,18.0,36.3,35.0,3.0,1860.0,18.3,0.89,0.0,0.0,Summer,No Holiday,Yes,22,Sunday,July,2018,1212.0
7779,3.0,9.2,68.0,0.4,1538.0,3.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,21,Sunday,October,2018,342.0
4379,11.0,26.8,38.0,2.6,1879.0,11.2,2.99,0.0,0.0,Summer,No Holiday,Yes,1,Friday,June,2018,1036.0
3024,0.0,7.2,95.0,0.9,861.0,6.4,0.0,0.5,0.0,Spring,No Holiday,Yes,6,Friday,April,2018,56.0
4988,20.0,24.1,94.0,4.5,214.0,23.0,0.0,0.5,0.0,Summer,No Holiday,Yes,26,Tuesday,June,2018,199.0
4371,3.0,18.6,72.0,1.4,1340.0,13.4,0.0,0.0,0.0,Summer,No Holiday,Yes,1,Friday,June,2018,366.0
805,13.0,-2.2,31.0,2.3,1910.0,-17.0,1.13,0.0,0.0,Winter,No Holiday,Yes,3,Wednesday,January,2018,279.0
3053,5.0,1.6,62.0,4.9,1372.0,-4.9,0.0,0.0,0.0,Spring,No Holiday,Yes,7,Saturday,April,2018,57.0
7719,15.0,19.0,38.0,1.9,2000.0,4.3,1.72,0.0,0.0,Autumn,No Holiday,Yes,18,Thursday,October,2018,1203.0
6127,7.0,27.0,86.0,0.9,718.0,24.4,0.22,0.0,0.0,Summer,No Holiday,Yes,13,Monday,August,2018,1065.0
3265,1.0,7.6,62.0,1.2,1885.0,0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,16,Monday,April,2018,226.0
1153,1.0,3.2,72.0,1.9,306.0,-1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,18,Thursday,January,2018,190.0
4461,21.0,22.6,62.0,1.1,1363.0,14.9,0.0,0.0,0.0,Summer,No Holiday,Yes,4,Monday,June,2018,2377.0
2816,8.0,10.3,77.0,0.7,341.0,6.4,0.37,0.0,0.0,Spring,No Holiday,Yes,28,Wednesday,March,2018,1353.0
1242,18.0,2.5,24.0,2.0,2000.0,-16.0,0.02,0.0,0.0,Winter,No Holiday,Yes,21,Sunday,January,2018,295.0
5308,4.0,20.6,97.0,0.5,1989.0,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,10,Tuesday,July,2018,133.0
4253,5.0,17.6,0.0,0.8,1304.0,9.7,0.0,0.0,0.0,Spring,No Holiday,Yes,27,Sunday,May,2018,174.0
620,20.0,-6.1,32.0,4.7,2000.0,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes,26,Tuesday,December,2017,252.0
547,19.0,6.0,76.0,1.1,219.0,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,23,Saturday,December,2017,260.0
3312,0.0,9.6,44.0,2.2,1417.0,-2.0,0.0,0.0,0.0,Spring,No Holiday,Yes,18,Wednesday,April,2018,515.0
5353,1.0,26.6,80.0,0.0,1485.0,22.8,0.0,0.0,0.0,Summer,No Holiday,Yes,12,Thursday,July,2018,787.0
7664,8.0,10.4,63.0,0.6,1367.0,3.6,0.19,0.0,0.0,Autumn,No Holiday,Yes,16,Tuesday,October,2018,2134.0
26,2.0,-2.9,86.0,1.5,1256.0,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017,262.0
3985,1.0,24.1,67.0,0.5,686.0,17.5,0.0,0.0,0.0,Spring,No Holiday,Yes,16,Wednesday,May,2018,502.0
3617,17.0,24.0,53.0,3.5,536.0,13.8,1.39,0.0,0.0,Spring,No Holiday,Yes,30,Monday,April,2018,1706.0
4104,0.0,15.3,29.0,1.3,2000.0,-2.6,0.0,0.0,0.0,Spring,No Holiday,Yes,21,Monday,May,2018,666.0
2858,2.0,10.8,72.0,0.4,639.0,5.9,0.0,0.0,0.0,Spring,No Holiday,Yes,30,Friday,March,2018,261.0
5009,17.0,25.1,70.0,2.2,796.0,19.2,0.48,0.0,0.0,Summer,No Holiday,Yes,27,Wednesday,June,2018,2115.0
1302,6.0,-15.7,29.0,2.5,2000.0,-29.7,0.0,0.0,0.9,Winter,No Holiday,Yes,24,Wednesday,January,2018,71.0
8642,2.0,2.8,87.0,1.1,321.0,0.8,0.0,0.0,0.3,Autumn,No Holiday,Yes,26,Monday,November,2018,175.0
2249,17.0,11.8,82.0,1.7,990.0,8.8,0.4,0.0,0.0,Spring,No Holiday,Yes,4,Sunday,March,2018,492.0
7590,6.0,6.6,80.0,1.0,1424.0,3.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,13,Saturday,October,2018,209.0
2699,11.0,7.1,50.0,1.7,799.0,-2.6,2.24,0.0,0.0,Spring,No Holiday,Yes,23,Friday,March,2018,584.0
5716,4.0,27.3,85.0,1.6,671.0,24.5,0.0,0.0,0.0,Summer,No Holiday,Yes,27,Friday,July,2018,218.0
8401,1.0,7.8,59.0,0.6,768.0,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,16,Friday,November,2018,520.0
500,20.0,0.2,72.0,0.7,990.0,-4.2,0.0,0.0,0.8,Winter,No Holiday,Yes,21,Thursday,December,2017,288.0
7309,13.0,17.6,49.0,4.7,2000.0,6.7,1.89,0.0,0.0,Autumn,No Holiday,Yes,1,Monday,October,2018,1087.0
437,5.0,-3.9,66.0,0.7,1209.0,-9.3,0.0,0.0,2.6,Winter,No Holiday,Yes,19,Tuesday,December,2017,55.0
5003,11.0,23.4,73.0,1.3,827.0,18.2,2.38,0.0,0.0,Summer,No Holiday,Yes,27,Wednesday,June,2018,1015.0
4194,18.0,22.6,39.0,2.8,1655.0,7.9,1.1,0.0,0.0,Spring,No Holiday,Yes,24,Thursday,May,2018,2825.0
7770,18.0,16.6,41.0,2.4,1811.0,3.2,0.04,0.0,0.0,Autumn,No Holiday,Yes,20,Saturday,October,2018,1707.0
6921,9.0,22.7,72.0,1.2,2000.0,17.3,0.59,0.0,0.0,Autumn,No Holiday,Yes,15,Saturday,September,2018,934.0
8003,11.0,7.5,36.0,1.4,1993.0,-6.6,1.98,0.0,0.0,Autumn,No Holiday,Yes,30,Tuesday,October,2018,782.0
5945,17.0,32.8,61.0,4.0,1878.0,24.2,1.46,0.0,0.0,Summer,No Holiday,Yes,5,Sunday,August,2018,978.0
4224,0.0,17.0,59.0,1.1,1299.0,8.9,0.0,0.0,0.0,Spring,No Holiday,Yes,26,Saturday,May,2018,987.0
4514,2.0,18.8,88.0,0.3,500.0,16.7,0.0,0.0,0.0,Summer,No Holiday,Yes,7,Thursday,June,2018,418.0
3534,6.0,9.9,66.0,1.5,931.0,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,27,Friday,April,2018,427.0
4081,1.0,14.7,43.0,1.2,2000.0,2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,20,Sunday,May,2018,713.0
4201,1.0,16.9,61.0,1.0,844.0,9.3,0.0,0.0,0.0,Spring,No Holiday,Yes,25,Friday,May,2018,610.0
6637,13.0,24.9,78.0,1.5,1910.0,20.7,0.72,0.0,0.0,Autumn,No Holiday,Yes,3,Monday,September,2018,731.0
4161,9.0,16.0,60.0,1.9,1992.0,8.2,1.98,0.0,0.0,Spring,No Holiday,Yes,23,Wednesday,May,2018,1125.0
2706,18.0,9.7,36.0,3.6,948.0,-4.6,0.37,0.0,0.0,Spring,No Holiday,Yes,23,Friday,March,2018,1611.0
4291,19.0,24.4,44.0,2.8,1979.0,11.3,0.45,0.0,0.0,Spring,No Holiday,Yes,28,Monday,May,2018,2656.0
1039,7.0,-6.5,68.0,0.6,571.0,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes,13,Saturday,January,2018,43.0
3208,16.0,18.3,16.0,1.0,2000.0,-7.9,0.7,0.0,0.0,Spring,No Holiday,Yes,13,Friday,April,2018,1270.0
3573,21.0,13.9,37.0,1.1,1751.0,-0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,28,Saturday,April,2018,1351.0
6395,11.0,26.2,76.0,2.6,1995.0,21.6,0.88,0.0,0.0,Summer,No Holiday,Yes,24,Friday,August,2018,415.0
6407,23.0,23.4,79.0,2.7,1990.0,19.5,0.0,0.0,0.0,Summer,No Holiday,Yes,24,Friday,August,2018,1084.0
4464,0.0,20.5,71.0,2.8,1204.0,15.0,0.0,0.0,0.0,Summer,No Holiday,Yes,5,Tuesday,June,2018,927.0
5982,6.0,26.8,70.0,0.7,2000.0,20.8,0.0,0.0,0.0,Summer,No Holiday,Yes,7,Tuesday,August,2018,634.0
1870,22.0,-0.6,70.0,3.4,1204.0,-5.4,0.0,0.0,0.0,Winter,Holiday,Yes,16,Friday,February,2018,116.0
107,11.0,-3.9,25.0,0.0,1959.0,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017,334.0
2138,2.0,5.2,54.0,1.3,516.0,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,28,Wednesday,February,2018,174.0
5060,20.0,26.2,70.0,1.5,792.0,20.2,0.12,0.0,0.0,Summer,No Holiday,Yes,29,Friday,June,2018,2339.0
1414,22.0,-7.9,40.0,2.5,1997.0,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes,28,Sunday,January,2018,105.0
534,6.0,5.1,81.0,1.3,375.0,2.1,0.0,0.0,0.0,Winter,No Holiday,Yes,23,Saturday,December,2017,63.0
7661,5.0,10.2,70.0,1.5,1519.0,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,16,Tuesday,October,2018,202.0
7928,8.0,7.7,62.0,2.4,1985.0,0.8,0.23,0.0,0.0,Autumn,No Holiday,Yes,27,Saturday,October,2018,713.0
5146,10.0,27.6,71.0,1.6,1870.0,21.8,2.14,0.0,0.0,Summer,No Holiday,Yes,3,Tuesday,July,2018,818.0
5615,23.0,31.2,52.0,1.5,1670.0,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,22,Sunday,July,2018,1030.0
585,9.0,-4.6,40.0,3.5,2000.0,-16.1,0.18,0.0,0.0,Winter,Holiday,Yes,25,Monday,December,2017,107.0
2439,15.0,15.3,32.0,2.9,458.0,-1.3,2.02,0.0,0.0,Spring,No Holiday,Yes,12,Monday,March,2018,694.0
8683,19.0,9.3,52.0,2.7,482.0,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,27,Tuesday,November,2018,1023.0
5277,21.0,25.3,55.0,1.4,2000.0,15.6,0.0,0.0,0.0,Summer,No Holiday,Yes,8,Sunday,July,2018,2055.0
2063,23.0,-0.6,39.0,1.3,1731.0,-12.8,0.0,0.0,0.0,Winter,No Holiday,Yes,24,Saturday,February,2018,187.0
2603,11.0,10.2,65.0,3.3,2000.0,3.9,0.57,0.0,0.0,Spring,No Holiday,Yes,19,Monday,March,2018,393.0
1703,23.0,2.0,70.0,0.7,689.0,-2.9,0.0,0.0,0.0,Winter,No Holiday,Yes,9,Friday,February,2018,193.0
6029,5.0,27.8,82.0,1.0,1599.0,24.4,0.0,0.0,0.0,Summer,No Holiday,Yes,9,Thursday,August,2018,292.0
6163,19.0,32.7,56.0,2.2,2000.0,22.7,0.33,0.0,0.0,Summer,No Holiday,Yes,14,Tuesday,August,2018,1972.0
491,11.0,-0.7,62.0,0.7,519.0,-7.0,0.77,0.0,2.0,Winter,No Holiday,Yes,21,Thursday,December,2017,243.0
5180,20.0,27.1,67.0,2.9,1949.0,20.4,0.06,0.0,0.0,Summer,No Holiday,Yes,4,Wednesday,July,2018,2415.0
6014,14.0,33.6,50.0,3.5,1993.0,21.7,1.15,0.0,0.0,Summer,No Holiday,Yes,8,Wednesday,August,2018,670.0
218,2.0,0.2,52.0,0.7,1726.0,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,10,Sunday,December,2017,243.0
6951,15.0,23.2,83.0,1.5,349.0,20.1,0.77,0.5,0.0,Autumn,No Holiday,Yes,16,Sunday,September,2018,222.0
5067,3.0,21.9,88.0,0.9,274.0,19.8,0.0,0.0,0.0,Summer,No Holiday,Yes,30,Saturday,June,2018,625.0
2795,11.0,15.8,40.0,1.9,647.0,2.2,1.95,0.0,0.0,Spring,No Holiday,Yes,27,Tuesday,March,2018,560.0
7032,0.0,20.1,58.0,0.3,2000.0,11.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,20,Thursday,September,2018,886.0
6350,14.0,36.2,36.0,1.5,1985.0,18.7,2.87,0.0,0.0,Summer,No Holiday,Yes,22,Wednesday,August,2018,760.0
852,12.0,-0.3,45.0,2.2,1066.0,-10.8,1.01,0.0,0.0,Winter,No Holiday,Yes,5,Friday,January,2018,362.0
2611,19.0,8.4,51.0,3.3,1977.0,-1.1,0.01,0.0,0.0,Spring,No Holiday,Yes,19,Monday,March,2018,818.0
4872,0.0,20.7,67.0,1.9,885.0,14.3,0.0,0.0,0.0,Summer,No Holiday,Yes,22,Friday,June,2018,1137.0
5021,5.0,22.1,93.0,0.4,333.0,20.9,0.0,0.0,0.0,Summer,No Holiday,Yes,28,Thursday,June,2018,266.0
6171,3.0,29.1,70.0,0.3,1952.0,23.0,0.0,0.0,0.0,Summer,Holiday,Yes,15,Wednesday,August,2018,474.0
7686,6.0,8.8,77.0,0.2,1077.0,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,17,Wednesday,October,2018,503.0
5731,19.0,32.0,68.0,3.0,1286.0,25.3,0.38,0.0,0.0,Summer,No Holiday,Yes,27,Friday,July,2018,1657.0
5781,21.0,31.1,47.0,1.3,2000.0,18.4,0.0,0.0,0.0,Summer,No Holiday,Yes,29,Sunday,July,2018,1638.0
3443,11.0,8.9,91.0,2.2,437.0,7.5,0.29,1.5,0.0,Spring,No Holiday,Yes,23,Monday,April,2018,10.0
7746,18.0,16.6,40.0,2.4,2000.0,2.9,0.11,0.0,0.0,Autumn,No Holiday,Yes,19,Friday,October,2018,2631.0
6058,10.0,30.5,58.0,0.6,1875.0,21.2,1.84,0.0,0.0,Summer,No Holiday,Yes,10,Friday,August,2018,683.0
5411,11.0,29.0,65.0,2.0,1642.0,21.7,2.22,0.0,0.0,Summer,No Holiday,Yes,14,Saturday,July,2018,945.0
2855,23.0,12.7,75.0,1.6,475.0,8.3,0.0,0.0,0.0,Spring,No Holiday,Yes,29,Thursday,March,2018,614.0
5294,14.0,20.2,89.0,1.0,1854.0,18.3,0.27,0.5,0.0,Summer,No Holiday,Yes,9,Monday,July,2018,110.0
2926,22.0,16.7,83.0,2.4,416.0,13.7,0.0,0.0,0.0,Spring,No Holiday,Yes,1,Sunday,April,2018,841.0
397,13.0,-4.5,25.0,3.2,1989.0,-21.6,1.14,0.0,0.0,Winter,No Holiday,Yes,17,Sunday,December,2017,223.0
1317,21.0,-14.7,40.0,3.2,1933.0,-25.3,0.0,0.0,0.7,Winter,No Holiday,Yes,24,Wednesday,January,2018,132.0
6223,7.0,22.0,49.0,1.7,2000.0,10.7,0.23,0.0,0.0,Summer,No Holiday,Yes,17,Friday,August,2018,1271.0
121,1.0,-3.0,79.0,0.0,293.0,-6.1,0.0,0.0,0.3,Winter,No Holiday,Yes,6,Wednesday,December,2017,144.0
3065,17.0,7.6,36.0,5.3,2000.0,-6.5,1.8,0.0,0.0,Spring,No Holiday,Yes,7,Saturday,April,2018,908.0
401,17.0,-3.8,35.0,2.4,2000.0,-17.0,0.17,0.0,0.0,Winter,No Holiday,Yes,17,Sunday,December,2017,266.0
111,15.0,-0.7,28.0,0.0,2000.0,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017,353.0
2318,14.0,9.8,38.0,0.9,1908.0,-3.8,0.93,0.0,0.0,Spring,No Holiday,Yes,7,Wednesday,March,2018,505.0
1566,6.0,-11.8,54.0,2.4,1917.0,-19.2,0.0,0.0,0.0,Winter,No Holiday,Yes,4,Sunday,February,2018,23.0
7085,5.0,18.8,96.0,0.2,973.0,18.1,0.0,6.5,0.0,Autumn,No Holiday,Yes,22,Saturday,September,2018,93.0
3206,14.0,18.7,14.0,1.6,2000.0,-9.3,1.25,0.0,0.0,Spring,No Holiday,Yes,13,Friday,April,2018,1063.0
5650,10.0,32.4,54.0,0.9,1631.0,21.8,1.45,0.0,0.0,Summer,No Holiday,Yes,24,Tuesday,July,2018,610.0
5838,6.0,27.8,73.0,0.9,1971.0,22.5,0.01,0.0,0.0,Summer,No Holiday,Yes,1,Wednesday,August,2018,622.0
5581,13.0,35.2,34.0,1.8,1636.0,16.9,3.21,0.0,0.0,Summer,No Holiday,Yes,21,Saturday,July,2018,727.0
7476,12.0,19.2,31.0,0.5,1994.0,1.6,2.4,0.0,0.0,Autumn,No Holiday,Yes,8,Monday,October,2018,1238.0
3355,19.0,17.4,34.0,2.2,779.0,1.3,0.16,0.0,0.0,Spring,No Holiday,Yes,19,Thursday,April,2018,1489.0
6734,14.0,25.2,43.0,3.2,1981.0,11.7,2.59,0.0,0.0,Autumn,No Holiday,Yes,7,Friday,September,2018,1187.0
1557,21.0,-9.1,38.0,2.7,2000.0,-20.8,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Saturday,February,2018,107.0
6885,21.0,23.8,67.0,0.6,2000.0,17.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,13,Thursday,September,2018,2000.0
5409,9.0,27.0,70.0,1.1,1393.0,21.0,1.15,0.0,0.0,Summer,No Holiday,Yes,14,Saturday,July,2018,909.0
573,21.0,0.4,69.0,3.5,477.0,-4.6,0.0,0.0,0.0,Winter,Holiday,Yes,24,Sunday,December,2017,145.0
5929,1.0,27.7,83.0,2.7,1128.0,24.5,0.0,0.0,0.0,Summer,No Holiday,Yes,5,Sunday,August,2018,758.0
5888,8.0,31.8,55.0,1.3,1537.0,21.6,0.78,0.0,0.0,Summer,No Holiday,Yes,3,Friday,August,2018,1471.0
7700,20.0,12.2,47.0,1.1,2000.0,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,17,Wednesday,October,2018,1558.0
1720,16.0,0.3,17.0,4.9,2000.0,-21.9,0.87,0.0,0.0,Winter,No Holiday,Yes,10,Saturday,February,2018,291.0
4134,6.0,15.5,0.0,0.5,1691.0,10.4,0.06,0.0,0.0,Spring,Holiday,Yes,22,Tuesday,May,2018,277.0
6582,6.0,20.9,87.0,0.7,1198.0,18.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,Saturday,September,2018,362.0
8143,7.0,7.0,86.0,1.1,455.0,4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,5,Monday,November,2018,1115.0
